date,close,open,high,low,volume
2024-05-31,34.96,36.22,36.22,33.82,625321
2024-06-03,36.52,37.2,37.763,35.93,783271
2024-06-04,37.89,36.89,38.6999,36.64,651997
2024-06-05,38.88,38.73,39.42,37.7799,796893
2024-06-06,37.9,38.71,39.26,37.8224,446721
2024-06-07,36.5,38.91,39.1899,35.445,811990
2024-06-10,36.71,36.5,37.48,36.38,724598
2024-06-11,34.53,34.26,34.68,33.0,1001088
2024-06-12,34.55,36.33,37.2,34.3,1056583
2024-06-13,33.6,35.24,35.42,33.15,742975
2024-06-14,32.47,34.27,34.36,31.95,919377
2024-06-17,33.6,32.61,34.23,31.95,611653
2024-06-18,31.27,31.76,32.22,30.85,1028627
2024-06-20,31.85,32.21,32.32,31.35,636072
2024-06-21,31.07,30.46,31.16,30.1401,833984
2024-06-24,26.25,28.09,28.58,25.95,1905308
2024-06-25,28.67,28.0,29.0,27.72,884564
2024-06-26,27.66,28.13,28.65,27.39,642213
2024-06-27,28.04,28.2,28.9594,27.98,653613
2024-06-28,26.71,28.13,28.42,26.59,661339
2024-07-01,29.52,29.23,30.18,28.9399,808033
2024-07-02,28.29,29.26,29.49,28.15,897975
2024-07-03,26.98,26.87,27.18,26.44,1024306
2024-07-05,23.48,22.6,23.93,22.485,2720193
2024-07-08,23.44,24.03,24.13,22.2425,1812538
2024-07-09,24.53,23.96,24.9,23.79,1225455
2024-07-10,24.17,24.68,24.7,24.07,1249374
2024-07-11,24.15,25.35,25.47,23.9,1343092
2024-07-12,24.32,24.19,25.1,24.18,922108
2024-07-15,29.16,28.6,29.67,28.36,2557640
2024-07-16,30.8,29.6,30.87,28.871,1554565
2024-07-17,30.2,30.3,30.9851,29.515,1070897
2024-07-18,29.23,30.44,30.6,28.8813,1419084
2024-07-19,32.65,29.8,32.92,29.68,1728498
2024-07-22,33.53,33.0,33.6,31.895,1392679
2024-07-23,30.85,31.89,32.65,30.73,1631060
2024-07-24,30.88,31.9,32.33,30.8127,1501839
2024-07-25,29.95,29.58,30.43,28.75,1191747
2024-07-26,33.04,32.52,33.25,32.07,1022297
2024-07-29,32.3,34.62,34.69,31.45,1582182
2024-07-30,30.88,31.59,31.9,30.53,1077646
2024-07-31,30.27,31.39,31.78,29.98,1098547
2024-08-01,28.44,29.6,29.96,27.4,2438665
2024-08-02,27.7,29.77,30.385,27.5,1922032
2024-08-05,19.68,16.44,21.5,16.3,4025562
2024-08-06,22.13,20.93,22.36,20.38,1702690
2024-08-07,20.51,22.51,22.7,20.43,1688997
