date,close,open,high,low,volume
2010-06-25,88.25,89.46,90.46,86.37,7398400
2010-06-28,87.459999,88.32,89.64,85.56,6840000
2010-06-29,77.699997,83.35,83.5,75.4,18259200
2010-06-30,73.860001,76.54,78.73,73.25,7652800
2010-07-01,73.139999,74.27,74.89,68.86,10513600
2010-07-02,72.739998,73.33,74.18,70.5,6140800
2010-07-06,73.120003,75.52,76.91,71.28,6523200
2010-07-07,80.029999,73.75,80.25,73.57,6699200
2010-07-08,81.379997,81.95,82.27,78.56,8640000
2010-07-09,83.660004,81.17,84.0,80.74,5944000
2010-07-12,84.610001,83.35,85.87,82.84,4121600
2010-07-13,87.5,86.59,88.62,84.72,7256000
2010-07-14,88.900002,88.25,90.39,87.11,4563200
2010-07-15,89.209999,88.53,89.99,85.65,4758400
2010-07-16,82.029999,88.43,88.54,81.64,7556800
2010-07-19,83.879997,82.5,84.4,80.51,5176000
2010-07-20,86.529999,79.72,86.88,79.08,5331200
2010-07-21,83.5,89.8,89.8,82.94,7187200
2010-07-22,89.129997,86.76,90.85,86.76,5268800
2010-07-23,91.449997,87.88,91.56,87.39,5785600
2010-07-26,93.459999,91.85,93.72,90.57,4198400
2010-07-27,93.440002,94.84,95.26,92.27,4987200
2010-07-28,91.529999,93.25,94.42,90.3,3232000
2010-07-29,89.349998,92.8,93.4,86.52,6364800
2010-07-30,89.959999,87.08,91.44,85.51,5409600
2010-08-02,94.800003,93.29,95.5,92.26,3756800
2010-08-03,93.82,94.62,94.92,92.34,2667200
2010-08-04,96.529999,95.05,96.8,93.82,3371200
2010-08-05,95.959999,95.08,96.3,93.94,2769600
2010-08-06,95.510002,92.51,95.92,91.13,6364800
2010-08-09,97.18,96.82,98.0,95.58,3568000
2010-08-10,95.120003,95.0,96.45,92.52,6584000
2010-08-11,87.290001,90.07,90.13,85.91,6454400
2010-08-12,84.830002,82.06,86.03,81.57,6080000
2010-08-13,83.14,84.13,85.09,83.14,150814
2010-08-16,83.610001,81.9,85.29,80.85,3976000
2010-08-17,86.790001,85.48,89.03,84.98,5003200
