date,close,open,high,low,volume
2010-06-29,0.4530265809,0.4978950282,0.4978950282,0.4441153568,23970000
2010-06-30,0.4311636872,0.4556927874,0.4704711894,0.4275071754,10842000
2010-07-01,0.432841112,0.4342107804,0.4445693737,0.3971885981,10716000
2010-07-02,0.4275071754,0.4337537164,0.440213554,0.406177523,7032000
2010-07-06,0.4267454021,0.4531027582,0.4616346192,0.4157758666,24060000
2010-07-07,0.4937814524,0.4268977567,0.4945432257,0.4268977567,13650000
2010-07-08,0.4901249406,0.5120640116,0.5120640116,0.4668146776,14706000
2010-07-09,0.5070363078,0.4922579058,0.5085598544,0.4818977889,7512000
2010-07-12,0.5263853496,0.5094739823,0.5321595912,0.5036845053,8718000
2010-07-13,0.5602080841,0.5454296821,0.5655100262,0.5359684577,11688000
2010-07-14,0.5550280256,0.5850418936,0.5911254152,0.5442108448,16902000
2010-07-15,0.5478673566,0.5475626473,0.5536415982,0.5192246806,11166000
2010-07-16,0.495762063,0.5378119491,0.5414684609,0.494847935,7878000
2010-07-19,0.5332413093,0.5114545929,0.5352219199,0.5001803481,7908000
2010-07-20,0.5347648559,0.4931720338,0.5349172105,0.4750418292,14142000
2010-07-21,0.5023133133,0.5449726181,0.5449726181,0.4988091562,10890000
2010-07-22,0.5483244206,0.5103881103,0.5591416014,0.5103881103,10308000
2010-07-23,0.5588368921,0.5439061355,0.5625695813,0.5300418614,7092000
2010-07-26,0.5789477072,0.5591416014,0.5821471551,0.5422317578,8622000
2010-07-27,0.5670640438,0.591593144,0.591593144,0.5597510201,10470000
2010-07-28,0.5376595944,0.5599033747,0.5727011662,0.528672193,17106000
2010-07-29,0.5050556972,0.5437537808,0.5448202634,0.4846401728,24666000
2010-07-30,0.4892108126,0.4933243884,0.4988091562,0.4640707702,13908000
2010-08-02,0.5151111048,0.5138922675,0.5225764831,0.495533531,19812000
2010-08-03,0.4995709295,0.5152634594,0.516329942,0.4866207834,11742000
2010-08-04,0.5141969768,0.5012468307,0.5157205234,0.4866207834,8508000
2010-08-05,0.5018562494,0.5113022383,0.5183105526,0.4966761909,7224000
